id,Tweet,author,language,url,Fecha,
1.02599556645778E+018,RT @LizbethCaro07: @El_Universal_Mx @cuauhtemocb10 @lopezobrador_ Así son de llorones los del América,quiquirrin66,,https://twitter.com/quiquirrin66/status/1025995566457782274,Sun Aug 05 06:42:59 +0000 2018,
1.02599560796882E+018,Ojo @PartidoMorenaMx @lopezobrador_ @tatclouthier @yeidckol  https://t.co/F20wuAkPyh,biofroy,,https://twitter.com/biofroy/status/1025995607968821248,Sun Aug 05 06:43:09 +0000 2018,
1.02599564950061E+018,RT @LaydaSansores: “Hay que poner orden en el sector energético” -dice @lopezobrador_ al defender el nombramiento de @ManuelBartlett.- “Hoy…,JHILDAM,,https://twitter.com/JHILDAM/status/1025995649500606464,Sun Aug 05 06:43:19 +0000 2018,
1.02599561199954E+018,"RT @adrifadi: ALERTA #MEXICO 
ASÍ va a actuar la derecha mexicana y la OILgarquia internacional contra @lopezobrador_ #AMLO cuando se les c…",eddyxe1qeg1,,https://twitter.com/eddyxe1qeg1/status/1025995611999543297,Sun Aug 05 06:43:10 +0000 2018,
1.02599566659675E+018,"RT @EuniceRendon: Como parte de la estrategia de pacificación y reconciliación nacional de @lopezobrador_, se llevarán a cabo 18 foros y 25…",teodoro28215990,,https://twitter.com/teodoro28215990/status/1025995666596749312,Sun Aug 05 06:43:23 +0000 2018,
1.02599565083454E+018,"RT @epigmenioibarra: Yo tengo Presidente no Tlatoani
No exijo a @lopezobrador_ sacrificios humanos para legitimarse.
Los quinazos, meter a…",_rafis1,,https://twitter.com/_rafis1/status/1025995650834542594,Sun Aug 05 06:43:19 +0000 2018,
1.02599565050745E+018,"RT @lopezobrador_: Continuamos con el trabajo de campo para iniciar, desde el 1 de diciembre, el programa de siembra de un millón de hectár…",ENRIQUEVASDIE7,,https://twitter.com/ENRIQUEVASDIE7/status/1025995650507452416,Sun Aug 05 06:43:19 +0000 2018,
1.02599573087853E+018,"RT @radioamlo: ¡Felicidades y gracias también a lxs que se nos adelantaron esperando el triunfo de @lopezobrador_! Bombero, Cristal, Don Re…",Hasardevi,,https://twitter.com/Hasardevi/status/1025995730878525440,Sun Aug 05 06:43:38 +0000 2018,
1.0259956862511E+018,Te lo dije amigo ... @tonibalanza1 meterá a la carcel a los que sabe que en seis años pueden quitarles el pastel ..… https://t.co/bzYf3fNmrZ,peperivasplus,,https://twitter.com/peperivasplus/status/1025995686251098117,Sun Aug 05 06:43:28 +0000 2018,
1.02599578270346E+018,@lopezobrador_  https://t.co/J7GpaTmDAO,Marry67815031,,https://twitter.com/Marry67815031/status/1025995782703460352,Sun Aug 05 06:43:51 +0000 2018,
1.02599577546817E+018,Ridículos!!,LlucyRobles,,https://twitter.com/LlucyRobles/status/1025995775468171264,Sun Aug 05 06:43:49 +0000 2018,
1.02599575831365E+018,"@Karlprez6 @RojoJosele @rocionahle @lopezobrador_ @JoseAMeadeK @Banxico Fue un fabuloso Circo
para que mejoremos un… https://t.co/8Mnz4t7Taa",buchinichi,,https://twitter.com/buchinichi/status/1025995758313648128,Sun Aug 05 06:43:45 +0000 2018,
1.02599587525485E+018,RT @m_zamarripa: Difiero @DiegoPetersen en que ”Algo similar le puede ocurrir a #AMLO si no administra su capital político”. Fox no tenia i…,beretovartre,,https://twitter.com/beretovartre/status/1025995875254849537,Sun Aug 05 06:44:13 +0000 2018,
1.02599586158986E+018,"RT @luisantgarcia: El único artículo que debiera tener la #ConstitucionMoral de @lopezobrador_:

1. Es inmoral (e ilegal) que un Estado lai…",aquilesNfierro,,https://twitter.com/aquilesNfierro/status/1025995861589864448,Sun Aug 05 06:44:10 +0000 2018,
1.02599591189642E+018,RT @nero_vermx: @cesamo70 @armandobon64 @TiburonJaro8 @_KatKaramelo_ @lopezobrador_ @rocionahle @Narusailor Decía Porfirio Díaz cuando algú…,Marpfa,,https://twitter.com/Marpfa/status/1025995911896424450,Sun Aug 05 06:44:22 +0000 2018,
1.02599591000043E+018,@PabloHiriart @szurita @lopezobrador_ @JoseAMeadeK Que pregunta tan absurda...acaso lo hizo en las elecciones pasadas??? 🤦🏻‍♀️,monikaalv1,,https://twitter.com/monikaalv1/status/1025995910000431104,Sun Aug 05 06:44:21 +0000 2018,
1.02599590455638E+018,RT @LaydaSansores: “Hay que poner orden en el sector energético” -dice @lopezobrador_ al defender el nombramiento de @ManuelBartlett.- “Hoy…,moriscoronado,,https://twitter.com/moriscoronado/status/1025995904556384256,Sun Aug 05 06:44:20 +0000 2018,
1.02599593213819E+018,"@rgbenibel @lorena96438260 @GuzmanSoely @lopezobrador_ Jajaja, con Barlett regresamos 30 años",lostro72a,,https://twitter.com/lostro72a/status/1025995932138188800,Sun Aug 05 06:44:26 +0000 2018,
1.02599593158033E+018,"RT @vobymx: @lopezobrador_ ¿Qué o quién es AGROMOD?, ¿acaso le vamos a comprar los arbolitos a AGROMOD? Digo si se puede saber",notimxm,,https://twitter.com/notimxm/status/1025995931580334080,Sun Aug 05 06:44:26 +0000 2018,
